Place Name,Latitude,Longitude,Cost,Categories,Sub Places
Place_1,7.591243,80.925954,14209,"Nature, Beach, Wildlife","Nine Arches Bridge, Little Adam's Peak, Mirissa Beach, Jungle Beach, Temple of the Tooth"
Place_2,6.890975,79.710062,12907,"Adventure, Nature","Yala National Park, Polonnaruwa Ruins"
Place_3,7.564333,81.675479,16741,"Religious, Wildlife",Udawalawe National Park
Place_4,8.67666,81.508631,13833,"Cultural, Nature",Nine Arches Bridge
Place_5,9.49886,80.065566,12820,Cultural,"Mirissa Beach, Udawalawe National Park, Gregory Lake, Polonnaruwa Ruins"
Place_6,8.30779,80.419653,18167,Wildlife,"Sigiriya Museum, Pidurangala Rock,Dambulla Cave Temple"
Place_7,9.581303,80.300891,17858,"Cultural, Religious","Little Adam's Peak, Ruwanwelisaya Stupa,Thuparamaya,Jetavanaramaya Stupa, Jaya Sri Maha Bodhi, Udawalawe National Park"
Place_8,6.034005,81.774072,17653,"Nature, Adventure","Little Adam's Peak, Adam's Peak, Arugam Bay, Jungle Beach, Udawalawe National Park"
Place_9,9.552195,80.724346,13719,"Nature, Religious","Little Adam's Peak, Jaya Sri Maha Bodhi, Galle Fort, Sigiriya Museum, Mirissa Beach"
Place_10,9.485734,80.156958,17379,Nature,"Adam's Peak, Horton Plains, Gregory Lake, Haggala Garden"
Place_11,9.630933,80.537002,2500,"Nature, Religious, Beach",Galle Fort
Place_12,8.165794,80.362798,8627,"Religious, Adventure","Dambulla Cave Temple Pidurangala Rock,Sigiriya Museum"
Place_13,6.860642,81.867935,13894,"Nature, Beach","Mirissa Beach, Yala National Park, Galle Fort"
Place_14,8.026796,81.093991,4774,Religious,Dambulla Cave Temple
Place_15,7.783909,80.724976,14682,"Adventure, Cultural","Adam's Peak, Udawalawe National Park, Galle Fort, Arugam Bay"
Place_16,7.347972,81.629221,14776,"Cultural, Adventure, Wildlife","Udawalawe National Park, Little Adam's Peak, Arugam Bay"
Place_17,7.49555,80.465187,3618,"Nature, Religious, Cultural",Dambulla Cave Temple
Place_18,7.947507,80.561172,9500,"Nature, Religious, Adventure","Jungle Beach, Little Adam's Peak"
Place_19,7.914328,80.681049,15456,"Wildlife, Religious, Adventure","Ruwanwelisaya Stupa, Pidurangala Rock, Ambewela Farm, Polonnaruwa Ruins, Sigiriya Museum"
Place_20,9.293251,81.777164,14150,"Cultural, Beach, Nature","Little Adam's Peak, Ruwanwelisaya Stupa, Mirissa Beach, Temple of the Tooth"
Place_21,9.590128,81.572216,8568,"Cultural, Beach, Nature","Udawalawe National Park, Gregory Lake, Horton Plains, Polonnaruwa Ruins, Galle Fort"
Place_22,6.828535,79.908499,8973,"Religious, Adventure","Pidurangala Rock, Little Adam's Peak"
Place_23,6.813458,81.65036,8187,"Wildlife, Cultural","Sigiriya Museum, Ruwanwelisaya Stupa"
Place_24,6.970213,80.893276,9976,Beach,"Jungle Beach, Dambulla Cave Temple, Mirissa Beach"
Place_25,9.435926,81.710493,17426,Nature,"Little Adam's Peak, Dambulla Cave Temple, Adam's Peak, Nine Arches Bridge"
Place_26,6.04273,80.889768,15380,"Wildlife, Nature, Beach","Polonnaruwa Ruins, Temple of the Tooth, Gregory Lake, Haggala Garden"
